City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,callao,-12.0667,-77.15,295.22,83,40,4.63,PE,1714106326
297,safford,32.834,-109.7076,292.66,29,0,4.12,US,1714106327
298,shimoda,34.6667,138.95,295.99,69,87,3.79,JP,1714106314
299,recea,47.6333,23.5167,276.98,97,20,3.13,RO,1714106327
300,selfoss,63.9331,-20.9971,274.29,73,64,3.0,IS,1714106152
301,hermanus,-34.4187,19.2345,289.71,91,55,5.0,ZA,1714106173
302,north bend,43.4065,-124.2243,284.81,93,100,4.12,US,1714106329
303,shats'k,51.5021,23.9381,278.59,81,0,1.7,UA,1714106330
304,tamanrasset,22.785,5.5228,289.1,13,0,1.03,DZ,1714106330
305,broken hill,-31.95,141.4333,290.6,36,0,5.17,AU,1714106296
306,san juan de miraflores,-12.1629,-76.9635,294.36,81,61,1.9,PE,1714106331
307,itoman,26.1247,127.6694,300.58,91,75,6.69,JP,1714106178
308,gisborne,-38.6533,178.0042,291.48,72,68,4.82,NZ,1714106331
309,altay,47.8667,88.1167,275.48,49,82,4.18,CN,1714106332
310,mana,5.6592,-53.7767,298.21,83,68,2.99,GF,1714106332
311,eirunepe,-6.6603,-69.8736,296.3,99,68,0.42,BR,1714106332
312,nikolayevsk-on-amure,53.1406,140.73,288.83,24,55,6.26,RU,1714106120
313,ta`u,-14.2336,-169.5144,302.27,70,27,5.23,AS,1714106293
314,belyy yar,53.6039,91.3903,279.09,36,0,6.0,RU,1714106331
315,murcia,38.0,-1.5,285.47,56,1,2.18,ES,1714106334
316,semnan,35.5729,53.3971,290.84,45,0,1.62,IR,1714106334
317,charters towers,-20.1,146.2667,300.98,39,56,3.66,AU,1714106335
318,vernon,50.2581,-119.2691,283.49,88,100,0.89,CA,1714106335
319,fortaleza,-3.7227,-38.5247,300.49,94,75,7.72,BR,1714105682
320,carloforte,39.145,8.3058,284.95,64,100,3.33,IT,1714106336
321,alice town,25.7167,-79.3,296.79,66,0,5.69,BS,1714106336
322,general mosconi,-23.1851,-62.303,294.31,89,43,1.87,AR,1714106336
323,chonchi,-42.6128,-73.8092,278.71,74,54,3.7,CL,1714106322
324,ontario,34.0633,-117.6509,287.52,74,75,5.14,US,1714106070
325,acarau,-2.8856,-40.12,298.16,83,100,2.64,BR,1714106308
326,izki,22.9333,57.7667,298.68,54,16,2.46,OM,1714106338
327,salalah,17.0151,54.0924,302.2,70,0,1.54,OM,1714106338
328,east london,-33.0153,27.9116,290.67,88,40,4.12,ZA,1714106150
329,khash,28.2211,61.2158,290.79,51,17,2.61,IR,1714106339
330,gotsucho,35.0,132.2167,293.97,62,100,2.47,JP,1714106339
331,harar,9.3094,42.1258,290.7,83,98,3.28,ET,1714106340
332,jeremie,18.65,-74.1167,299.47,86,96,3.03,HT,1714106321
333,mermoz boabab,14.7065,-17.4758,295.46,85,95,8.78,SN,1714106340
334,sumbe,-11.2061,13.8437,298.93,90,60,2.11,AO,1714106341
335,codrington,-38.2667,141.9667,287.01,66,100,4.58,AU,1714106140
336,coquimbo,-29.9533,-71.3436,288.0,77,75,1.03,CL,1714106195
337,palmas,-10.2128,-48.3603,297.64,82,43,0.31,BR,1714106190
338,mbandaka,0.0487,18.2603,295.28,96,87,1.45,CD,1714106342
339,sinabang,2.4803,96.3801,303.5,69,100,1.43,ID,1714106341
340,olhao,37.0286,-7.8411,285.42,77,0,2.57,PT,1714106343
341,kodiak,57.79,-152.4072,279.88,76,20,4.12,US,1714106319
342,kailua-kona,19.6406,-155.9956,299.97,79,40,3.6,US,1714106151
343,hadibu,12.65,54.0333,302.08,64,18,1.67,YE,1714106344
344,nar'yan-mar,67.6713,53.087,273.21,97,100,5.81,RU,1714106330
345,urangan,-25.3,152.9,294.93,83,83,2.68,AU,1714106345
346,vilyuchinsk,52.9306,158.4028,285.3,77,100,1.38,RU,1714106323
347,katutura,-22.521,17.0557,291.68,29,0,3.6,NA,1714106346
348,filipstad,59.7124,14.1683,274.97,70,100,3.1,SE,1714106347
349,pagar alam,-4.0167,103.2667,297.46,84,100,0.45,ID,1714106348
350,kadiri,14.1167,78.1667,309.42,18,16,4.04,IN,1714106348
351,khadzhalmakhi,42.42,47.1821,291.56,49,2,1.96,RU,1714106348
352,ingeniero guillermo n. juarez,-23.9,-61.85,298.9,69,94,3.44,AR,1714106349
353,paramonga,-10.6667,-77.8333,292.99,90,59,3.1,PE,1714106349
354,malvan,16.0667,73.4667,303.79,59,4,5.23,IN,1714106350
